Text,Emotion,Label
i feel tortured by all this and im not quite sure how to handle it other then getting drunk non stop so as to not feel anything at all,fear,4
i feel like a whiney lil girl who s keeps whining and psycho ing herself to love studying and start studying,sadness,0
i feel jealous when i know he go out with other women,anger,1
i had been indifferent to tell the feelings and words i had treasured ever since the feeling start to bloom are one of the moments i want to keep,love,2
i really had prepared ourselves for the worst but we both had the innate feeling that everything was fine,happy,5
i still feel the tender touch of a hand in mine,love,2
i feel paranoid thinking about it just looking out the window and feeling my insomnia creep up on me,fear,4
i dont think he is being honest with me about a lot of things i could be wrong here but i keep feeling skeptical about certain things after everytime i hang out with him,fear,4
i am feeling so incredibly blessed for the life i have been given and the people that god has put in it,happy,5
i am thankful for not attending therapy but am really no further forward in fact probably feeling more isolated misunderstood and lonely in it,sadness,0
i realize that the vision that i had for it at the beginning is not what i feel passionate about any more,love,2
i feel pretty content hour ago,happy,5
i feel like the last three months are going to go by super quick because we are going to be moving in a few weeks and then just getting situated and then bam,happy,5
i feel selfish thinking this way but i feel so lonely at times,anger,1
i know is sounds a tad silly but its a lovely feeling capturing moments and im just glad some people like them too,happy,5
i looked down and feasted on the view of my own legs and knees and memorized the feel of the cars gentle rocking,love,2
i seriously still feel so insecure and dreadful that the new guy would suddenly pop back up and change things,fear,4
i can make someone feel unwelcome rrreeaallyy fast without saying a word,sadness,0
i feel deeply humiliated when i read in ari ben menashe s book entitled profits of war mousavi s friend manuchehr ghorbani is was a cia agent,sadness,0
i mean i could literally feel him feeling content,happy,5
i often feel disappointed in my decisions and who i am and call myself names,sadness,0
i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish,anger,1
i feel like sometimes i am not important at all,happy,5
i have been perspiring like crazy even in school that makes me feel so dirty and muddy,sadness,0
i feel gracious for the opportunity to make a difference,happy,5
ive done while not writing was had flowers delivered to someone just because brought a meal to a new mom on a day she was feeling overwhelmed and now im stumped trying to remember what has been done,surprise,3
i wonder if the people in this room know that the motion of their movements provide me with an embrace of energy that feels as safe and sound as someone s arms around me,happy,5
i just feel terrified like im on the edge of a precipice staring ahead,fear,4
i do not feel insecure or unsafe,fear,4
i feeling dangerous at wimbledon width,anger,1
we had come back from a programme and we were all three girls staying over at another girls placce one of them started passing very nasty and outright bitchy remarks at me it was brought on by a male colleagues compliments to me,anger,1
i can look at a stack of twenty five term papers and not feel overwhelmed,surprise,3
im not feeling obnoxious with myself anymore,anger,1
ive never been a huge holiday person but i definitely feel more festive more hopeful more willing to celebrate others joys,happy,5
i remember feeling deeply disappointed,sadness,0
i am writing this at a time when i have also had an upset with the only real parent i have had almost constantly in my life and when theres no brothers and sisters around either i am an only child it feels kinda lonely,sadness,0
i don t really feel all that bothered by it to be honest,anger,1
i feel glad that justice will be served west said,happy,5
i feel like were getting married again it was so romantic and fun,love,2
i woke up on saturday feeling so glad it was saturday and that the work week was behind me,happy,5
i feel heartbroken for bryan,sadness,0
i know its been a long time and i feel so pathetic why i have to feel this way but i do,sadness,0
i feel pain even when i see an unfortunate person in street begging why does my mind race and think why is that person there,sadness,0
staying in a relatives house which was broken in before,fear,4
i take lightly but if youre like me you re probably feeling a little skeptical of product that is being sold on the internet as the way to become successful online,fear,4
i was cut into feeling pain that shocked me,surprise,3
i feel weird,surprise,3
i know it seems very sudden to everyone but i am not sure how much i can communicate just how comfortable i feel with him how similarly we look at the world and how supportive and loving he has been towards me,love,2
i feel slightly dazed and tired and angry but that is a normal emotion and mood for me to experience from day to day or week to week,surprise,3
i feel sarcastic poetry coming on,anger,1
i love how soft they make my hair feel and it gives my hair a lovely natural looking shine to it,love,2
i was actually feeling somewhat listless and unmotivated earlier this afternoon but then i had a cup of coffee medium strength coffee at that and now im bursting at the seams,sadness,0
i can t fit in in beirut where i have the nagging feeling that i m in a heartless place,anger,1
i feel respected and i feel like i am worth something,happy,5
i am plagued by awkward feelings the charming tale of a not so charming gal named me,happy,5
i really dont think he looks at my blog too often so i feel pretty safe posting it this layout is full of a href http www,happy,5
i am known for letting things go when im not feeling good,happy,5
i might have folk over soon if im feeling brave,happy,5
i didn t feel like i could face the day but i clung onto the verse the lord is gracious and compassionate as i started the morning,love,2
i have been with petronas for years i feel that petronas has performed well and made a huge profit,happy,5
i feel pretty posted on a href http playhousecomm,happy,5
i started off the week feeling groggy and unwell picking up a sick note from the doctor and climbing into fresh sheets with snacks and a bottle of water to hand,sadness,0
i knew something was off as i have been feeling so bad,sadness,0
im feeling ive resolved to live a life of love and miracles,happy,5
i never feel that popular,happy,5
i feel a bit naughty like ive snuck into my parents room snooping for christmas presents or something,love,2
i remember how i used to feel watching tv and seeing sara rue on popular because she was an inspiration to me,happy,5
i still feel completely accepted,happy,5
i have to move stop staring at the other ladies this doesn t feel good does it feel bad,happy,5
im having trouble coming with words to describe the way i feel im so devoted to it,love,2
i stopped feeling bitter and sorry for myself and lost myself in the work my work started getting better or rather continued to get better,anger,1
i had seen a solopgangfor to see the love in my woman s eyes feel the touch of a precious barnog know a mother s love,happy,5
i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days,anger,1
i really do feel for kids who are tortured in highschool,fear,4
i feel wronged by the world,anger,1
when my little sister was sick at home and i thought that she would die,fear,4
i came up with the following i m drawing a blank as to what this is called to help me when i am feeling fearful or attacked,fear,4
i feel these people are utterly useless in my view,sadness,0
i remember feeling awkward and strange during my first few weeks,sadness,0
i feel a little calmer im more irritable and impatient than before,anger,1
i feel like i should mention that i wasnt fond of the damn shapeshifter in the first place,love,2
i didnt feel disheartened,sadness,0
i am sleeping better but yet i feel even more exhausted than ever which i just dont understand,sadness,0
i or you are feeling adventurous you can buy k ji kin spores by mailorder and make your own kome k ji using the rice of your choice,happy,5
i say walking away and shaking my head feeling a little dazed to get the drinks,surprise,3
i feel that the fabulous apple flavor gets kicked to the side for pumpkin,happy,5
i was feeling very sympathetic and told him i was so sorry and somehow felt responsible for him getting burned which is ridiculous because he is a grown man who has lived in his sun sensitive skin for years and should know by now how to take care of himself,love,2
i also began to feel my contractions at a very dull intensity,sadness,0
i just want to say all the things i want to say without feeling embarrassed or making other people upset,sadness,0
i had coped for barely twenty four hours before i was feeling wrung out and distraught,fear,4
i feel weird knowing mine died when i wasn t around,surprise,3
i feel it is wholly positive,happy,5
id begun to feel empty and this was after having had several juices and lots of water water will only make you feel full for so long but it was quite good at rinsing out from my pie hole the putrid flavors id forced upon myself,sadness,0
i can feel again i want to talk about the positive feelings of love good will and support that are raining down upon my detoxified mind and body and on behalf of the team here at iws radio i want to give a virtual hug and say thanks to some people for making me smile during sunday s show,happy,5
i trust my kids however i feel helpless enough in here over so many things and i m upset at the lack of respect for the few little things i asked them not to do,fear,4
i feel like i m on an emotional high with so much excitment,sadness,0
i really don t feel all that bothered by the north london derby,anger,1
im feeling ok to say il tough it out at the time it was pretty unpleasant,happy,5
i really lose a lot of my nesting homemaking instinct and desire when i am pregnant and the longer im pregnant the worse it gets though i do get about a month reprieve where i feel creative again around the six month mark and youll notice that is when i did a post for halloween,happy,5
i feel so friggin blessed with a wonderful career and family,happy,5
i would be the one screaming and yelling but now that ive handed bill paying responsibilities to my family i feel at peace with the idiotic long distance calls that seem to accrue every month,sadness,0
i was escorting a relative on a bike,fear,4
i feel more superior dead chicken or grieving child,happy,5
i grit my teeth shook my head and spent the next minutes feeling irritated,anger,1
i guess the finality of my decision and the financial repercussions have me feeling doubtful,fear,4
i feel pleased but at the same time i really don t understand why do we feel this patriotism only twice every year,happy,5
i express that same feeling im homophobic boring or in denial,sadness,0
i almost feel greedy with my rd child when so many people i know are working so hard for or,anger,1
